"","year","month","prov","pop","protests"
"1","2023","November","Alberta",4756408,20
"2","2023","November","British Columbia",5581127,27
"3","2023","November","Manitoba",1465440,10
"4","2023","November","New Brunswick",842725,5
"5","2023","November","Newfoundland and Labrador",540418,7
"6","2023","November","Northwest Territories",44760,2
"7","2023","November","Nova Scotia",1066416,11
"8","2023","November","Nunavut",40817,1
"9","2023","November","Ontario",15801768,62
"10","2023","November","Prince Edward Island",175853,2
"11","2023","November","Quebec",8948540,43
"12","2023","November","Saskatchewan",1218976,5
"13","2023","November","Yukon",45148,4
"14","2023","October","Alberta",4756408,17
"15","2023","October","British Columbia",5581127,31
"16","2023","October","Manitoba",1465440,14
"17","2023","October","New Brunswick",842725,4
"18","2023","October","Newfoundland and Labrador",540418,7
"19","2023","October","Northwest Territories",44760,0
"20","2023","October","Nova Scotia",1066416,8
"21","2023","October","Nunavut",40817,0
"22","2023","October","Ontario",15801768,91
"23","2023","October","Prince Edward Island",175853,4
"24","2023","October","Quebec",8948540,36
"25","2023","October","Saskatchewan",1218976,14
"26","2023","October","Yukon",45148,3
"27","2023","September","Alberta",4695290,19
"28","2023","September","British Columbia",5519013,40
"29","2023","September","Manitoba",1454902,20
"30","2023","September","New Brunswick",834691,12
"31","2023","September","Newfoundland and Labrador",538605,6
"32","2023","September","Northwest Territories",44972,0
"33","2023","September","Nova Scotia",1058694,13
"34","2023","September","Nunavut",40673,0
"35","2023","September","Ontario",15608369,73
"36","2023","September","Prince Edward Island",173787,4
"37","2023","September","Quebec",8874683,22
"38","2023","September","Saskatchewan",1209107,7
"39","2023","September","Yukon",44975,3
"40","2023","August","Alberta",4695290,6
"41","2023","August","British Columbia",5519013,18
"42","2023","August","Manitoba",1454902,10
"43","2023","August","New Brunswick",834691,1
"44","2023","August","Newfoundland and Labrador",538605,2
"45","2023","August","Northwest Territories",44972,0
"46","2023","August","Nova Scotia",1058694,0
"47","2023","August","Nunavut",40673,0
"48","2023","August","Ontario",15608369,54
"49","2023","August","Prince Edward Island",173787,1
"50","2023","August","Quebec",8874683,8
"51","2023","August","Saskatchewan",1209107,2
"52","2023","August","Yukon",44975,2
"53","2023","July","Alberta",4695290,4
"54","2023","July","British Columbia",5519013,22
"55","2023","July","Manitoba",1454902,21
"56","2023","July","New Brunswick",834691,3
"57","2023","July","Newfoundland and Labrador",538605,1
"58","2023","July","Northwest Territories",44972,0
"59","2023","July","Nova Scotia",1058694,3
"60","2023","July","Nunavut",40673,1
"61","2023","July","Ontario",15608369,48
"62","2023","July","Prince Edward Island",173787,0
"63","2023","July","Quebec",8874683,15
"64","2023","July","Saskatchewan",1209107,1
"65","2023","July","Yukon",44975,0
"66","2023","June","Alberta",4645229,9
"67","2023","June","British Columbia",5466646,26
"68","2023","June","Manitoba",1443875,8
"69","2023","June","New Brunswick",826622,2
"70","2023","June","Newfoundland and Labrador",536291,3
"71","2023","June","Northwest Territories",44678,0
"72","2023","June","Nova Scotia",1047803,7
